Participant_ID,Triad_Or_Individual,School,Team,School_Team,A_B_C,Computer_Sat_At,Block,Date,Face_Video_Offset_From_900_Seconds ,Audio_Quality,Screen_Video_Offset_From_900_Seconds ,Number_Of_Screen_Shots_Offset_From_29,Shimmer_Quality,Gaze_Calibration_Quality,Face_Offset_OK,Audio_Quality_ABC,Shimmer_Quality_ABC,Gaze_Calibration_Quality_ABC,Team_Data_Check_Complete_Y/N,Notes
CPS2-ASU-T24-PA,Triad,ASU,T24,ASU-T24,PA,A,ExpBlock2,7-17-18 @ 15:30,-2,A,-1,NaN,A,C,0,1,1,1,Y,
CPS2-ASU-T24-PA,Triad,ASU,T24,ASU-T24,PA,A,Transfer,7-17-18 @ 15:30,-1,A,NaN,0,A,C,1,1,1,1,Y,
CPS2-ASU-T24-PA,Triad,ASU,T24,ASU-T24,PA,A,WU,7-17-18 @ 15:30,-2,A,NaN,0,B,F,0,1,1,0,Y,
CPS2-ASU-T24-PB,Triad,ASU,T24,ASU-T24,PB,B,ExpBlock1,7-17-18 @ 15:30,-1,A,NaN,0,A,C,1,1,1,1,Y,
CPS2-ASU-T24-PB,Triad,ASU,T24,ASU-T24,PB,B,ExpBlock2,7-17-18 @ 15:30,-2,A,-1,NaN,A,C,0,1,1,1,Y,
CPS2-ASU-T24-PB,Triad,ASU,T24,ASU-T24,PB,B,Transfer,7-17-18 @ 15:30,-1,A,-1,NaN,A,C,1,1,1,1,Y,
CPS2-ASU-T24-PB,Triad,ASU,T24,ASU-T24,PB,B,WU,7-17-18 @ 15:30,-1,A,-1,NaN,A,C,1,1,1,1,Y,ASU T24 PB: Some light murmering from other participants
CPS2-ASU-T24-PC,Triad,ASU,T24,ASU-T24,PC,C,ExpBlock1,7-17-18 @ 15:30,-2,A,-1,NaN,A,B,0,1,1,1,Y,
CPS2-ASU-T24-PC,Triad,ASU,T24,ASU-T24,PC,C,ExpBlock2,7-17-18 @ 15:30,-2,A,NaN,0,B,B,0,1,1,1,Y,
CPS2-ASU-T24-PC,Triad,ASU,T24,ASU-T24,PC,C,Transfer,7-17-18 @ 15:30,-2,A,-1,NaN,A,B,0,1,1,1,Y,
CPS2-ASU-T24-PC,Triad,ASU,T24,ASU-T24,PC,C,WU,7-17-18 @ 15:30,-2,A,-1,NaN,A,B,0,1,1,1,Y,ASU T24 PC: Some light murmering from other participants
CPS2-ASU-T25-PA,Triad,ASU,T25,ASU-T25,PA,A,ExpBlock1,7-17-18 @ 18:00,-1,A,-1,NaN,A,B,1,1,1,1,Y,
CPS2-ASU-T25-PA,Triad,ASU,T25,ASU-T25,PA,A,ExpBlock2,7-17-18 @ 18:00,-1,A,-1,NaN,A,B,1,1,1,1,Y,
CPS2-ASU-T25-PA,Triad,ASU,T25,ASU-T25,PA,A,Transfer,7-17-18 @ 18:00,-1,A,-1,NaN,A,B,1,1,1,1,Y,
